_id,mmsi,shipCallSigns,shipName,shipSize,shipType,shipWidth
64bfcb20031fca34f8166604,413345750,BPAU8,CHANG GUAN JING SHUN,160,"Cargo ship, General",24
64bfcbda031fca34f8167f40,352002893,3E4668,ASL ELSA,189,"Cargo ship, General",32
64bfcbe3031fca34f816807a,352986202,3E3943,GODAVARI GAS,230,"Tanker, General",36
64bfcc8b031fca34f8169660,414629000,BOZL9,ZHE YIN JU HE 2,210,"Cargo ship, General",36
64bfcce6031fca34f816a267,994131719,,JN09,0,,0
64bfccfc031fca34f816a4c5,412361960,@@@@@@@,HUA RUN 18,75,"Cargo ship, General",16
64bfcd7f031fca34f816b498,413502320,BOZH8,JINHANGLUN,97,"Cargo ship, General",16
64bfcdcf031fca34f816bdf5,413216050,BOAR 5,NING YUAN XING GUANG,100,"Tanker, General",16
64bfcfc1031fca34f816f972,241805000,SVDP8,NORTHWIND,229,"Cargo ship, General",32
64bfd136031fca34f81726a7,413360430,,TIAN YU 588,55,"Cargo ship, General",9
64bfdd78031fca34f8187f3a,412459820,BPXH6,XING TONG 16,93,"Tanker, Category Y",15
64bfdec7031fca34f8189fa2,413358250,0,DONG  FANG  59,53,"Tanker, General",9
64bfdf8b031fca34f818b271,414694000,BPEV8,JIN HANG ZHENG NENG,210,"Cargo ship, General",36
64bfe009031fca34f818be9f,412479000,BOGN6,ZHONGYOUHUAYUAN18,220,"Tanker, General",35
64bfe344031fca34f8190ca0,413247560,BOKU3,HAI YANG GONG ZHU,140,"Tanker, General",20
64bfea6a031fca34f819b0cd,477191800,VRRY7,NEW CHAMPION,333,"Tanker, General",60
64bfeb0a031fca34f819beac,538007312,V7IQ5,STARSHIP AQUILA,172,"Cargo ship, General",27
64bfec04031fca34f819d39c,413303570,BFAT2,LEYANG6,96,"Cargo ship, General",15
64bff1f1031fca34f81a56d0,413344060,@@@@@@@,XIN XU 198,65,"Cargo ship, General",12
64c0044b031fca34f81bcf78,857984204,BFAZ,SHENG FENG 17,122,"Cargo ship, General",18
64c006b7031fca34f81c01f4,413802178,,,0,"Vessel, Fishing",0
64c00ac9031fca34f81c5920,413462170,,TAI YANG 6,53,"Cargo ship, General",9
64c01d7a031fca34f81de4c3,416044000,BHBW,CSE GLORY EXPRESS,176,"Cargo ship, General",30
64c03078031fca34f81f7b0b,413397530,BPDD3,FENG XIANG 69,99,"Cargo ship, General",16
64c03e90031fca34f820bb9b,412438680,@@@@@@@,RUNJIANG25,82,"Tanker, Category Y",12
64c0421c031fca34f8210b1c,413299560,BOTW6,JIN JIANG BO,119,"Cargo ship, General",19
64c052df031fca34f8229514,413382250,BPXS8,YIN GUI,135,"Tanker, Category Y",22
64c055c1031fca34f822d6a1,412379620,BPYK5,KAN TAN 225,81,Tug,20
64c05699031fca34f822e9df,412353850,BOZR4,HUA JIN SHENG 6,109,"Cargo ship, General",16
64c0634d031fca34f82414cd,413879000,BIRQ,HUA HENG,225,"Cargo ship, General",32
